Analog Bandwidth Channel 1: 500000000;;;;;;;
Analog Bandwidth Channel 2: 500000000;;;;;;;
Analog Bandwidth Channel 3: 500000000;;;;;;;
Analog Bandwidth Channel 4: 500000000;;;;;;;
Record Length: 8761;;;;;;;
Sample Rate: 125000000;;;;;;;
ADU0;Meas0;ADU1;Meas1;ADU2;Meas2;ADU3;Meas3
-8192;-1.00203229;8191;-0.959864679;8191;-0.000906321;-8192;0.007693325
8191;1.007908208;-8192;0.972200961;-8192;-0.000718908;8191;0.007295134
-7936;-0.960046114;7935;-0.929859556;7935;-0.000467635;-7936;0.007547084
7935;0.969334808;-7936;0.942461714;-7936;-0.000395528;7935;0.00751826
-7680;-0.924909727;7679;-0.898394198;7679;-0.00087328;-7680;0.007502885
7679;0.933182848;-7680;0.913162602;-7680;-0.00099002;7679;0.007271284
-7424;-0.891039039;7423;-0.869240476;7423;-0.000652011;-7424;0.007128233
7423;0.899542496;-7424;0.882339056;-7424;-0.000370867;7423;0.007613311
-7168;-0.857726213;7167;-0.839129188;7167;-0.000392254;-7168;0.007497906
7167;0.867765031;-7168;0.852480591;-7168;-0.000888449;7167;0.00728926
-6912;-0.824994347;6911;-0.80903131;6911;-0.000934545;-6912;0.007427717
6911;0.835440076;-6912;0.822569321;-6912;-0.000616554;6911;0.007490379
-6656;-0.791912346;6655;-0.778343898;6655;-0.000577796;-6656;0.007641374
6655;0.802751195;-6656;0.791235984;-6656;-0.000464174;6655;0.007457215
-6400;-0.761192169;6399;-0.749094536;6399;-0.000273387;-6400;0.007608973
6399;0.771896234;-6400;0.762095002;-6400;-0.000905204;6399;0.007350395
-6144;-0.727722658;6143;-0.718937162;6143;-6.43982E-05;-6144;0.007226902
6143;0.740644623;-6144;0.732864071;-6144;-0.000689599;6143;0.007415429
-5888;-0.697672942;5887;-0.688278121;5887;-0.000550179;-5888;0.007433537
5887;0.70817925;-5888;0.703255605;-5888;-0.000502175;5887;0.007412798
-5632;-0.664648265;5631;-0.657593212;5631;-0.000561427;-5632;0.007301894
5631;0.677909718;-5632;0.672755126;-5632;-0.000672377;5631;0.006996914
-5376;-0.635469672;5375;-0.627284369;5375;-0.000940076;-5376;0.006985449
5375;0.646728737;-5376;0.642069978;-5376;-0.001007203;5375;0.007227991
-5120;-0.602509294;5119;-0.596745075;5119;-0.000464127;-5120;0.007195674
5119;0.615598405;-5120;0.612314317;-5120;-0.000595425;5119;0.007223506
-4864;-0.572032399;4863;-0.567931256;4863;-0.000623141;-4864;0.006983848
4863;0.584841682;-4864;0.581605191;-4864;-0.000680415;4863;0.007789481
-4608;-0.542141106;4607;-0.537343278;4607;-0.000775119;-4608;0.006836087
4607;0.553794027;-4608;0.551136096;-4608;-0.000929314;4607;0.007538261
-4352;-0.51088241;4351;-0.50661647;4351;-0.000421186;-4352;0.007227483
4351;0.523910126;-4352;0.521559744;-4352;-0.000610015;4351;0.007353723
-4096;-0.479570911;4095;-0.477096923;4095;-0.000656925;-4096;0.007373469
4095;0.492556503;-4096;0.490479582;-4096;-0.000684019;4095;0.007310886
-3840;-0.449403729;3839;-0.446048929;3839;-0.001057881;-3840;0.007793882
3839;0.462383452;-3840;0.460891773;-3840;-0.000593396;3839;0.007404249
-3584;-0.418916151;3583;-0.417253266;3583;-0.000819365;-3584;0.006986736
3583;0.431291959;-3584;0.431657099;-3584;-0.000363057;3583;0.007761797
-3328;-0.388171317;3327;-0.385798157;3327;-0.000973786;-3328;0.00739644
3327;0.401259322;-3328;0.399999092;-3328;-0.000660924;3327;0.007799705
-3072;-0.357898413;3071;-0.35511846;3071;-0.000392972;-3072;0.007603212
3071;0.370550637;-3072;0.369763956;-3072;-0.000670095;3071;0.007359268
-2816;-0.326783018;2815;-0.325807119;2815;-0.001002702;-2816;0.007125265
2815;0.339873917;-2816;0.339420453;-2816;-0.000686896;2815;0.007664811
-2560;-0.296517851;2559;-0.294937123;2559;-0.000283427;-2560;0.007630277
2559;0.309384363;-2560;0.310081973;-2560;-0.00035088;2559;0.007576189
-2304;-0.26699711;2303;-0.263593667;2303;-0.000567937;-2304;0.00720448
2303;0.278552735;-2304;0.280107827;-2304;-0.000629987;2303;0.007406647
-2048;-0.235851857;2047;-0.233773597;2047;-0.000639391;-2048;0.007790607
2047;0.249770685;-2048;0.250855687;-2048;-0.001000738;2047;0.007468838
-1792;-0.205410703;1791;-0.203760548;1791;-0.000537937;-1792;0.007151248
1791;0.219597167;-1792;0.220211361;-1792;-0.000746393;1791;0.007579283
-1536;-0.175070668;1535;-0.173737725;1535;-0.000735633;-1536;0.007388659
1535;0.189955848;-1536;0.19030784;-1536;-0.000219158;1535;0.008006202
