Date(EGSE);"HK_P5V0_ANA(raw)";"HK_P5V0_ANA(V)";"HK_P3V3_ANA(raw)";"HK_P3V3_ANA(V)";"HK_P2V5_ANA(raw)";"HK_P2V5_ANA(V)";"HK_P1V8_ANA(raw)";"HK_P1V8_ANA(V)";"HK_M2V5_ANA(raw)";"HK_M2V5_ANA(V)";"HK_M5V0_ANA(raw)";"HK_M5V0_ANA(V)";"HK_P3V3_DIG(raw)";"HK_P3V3_DIG(V)";"HK_P2V5_DIG(raw)";"HK_P2V5_DIG(V)";"HK_P1V2_DIG(raw)";"HK_P1V2_DIG(V)";"HK_TEMP_AVE(raw)";"HK_TEMP_AVE(°C)";"HK_TEMP_MAX(raw)";"HK_TEMP_MAX(°C)";"HK_P2V5_AUX(raw)";"HK_P2V5_AUX(V)";"HK_VREF_TEMP(raw)";"HK_VREF_TEMP(V)";"HK_VREF_R2R(raw)";"HK_VREF_R2R(V)";"DELOCK_FLAG(raw)";"DELOCK_FLAG()";"DMX_hks_15(raw)";"DMX_hks_15()";"DMX_hks_16(raw)";"DMX_hks_16()";"TMTC OK Board Temp 1()";"TMTC OK Board Temp 2()";"TMTC OK FPGA Temp()"
23/10/2024 11:20:24;2006;4.8636;1931;3.1096;1913;2.4081;1896;1.6937;1946;-2.4824;1964;-5.0085;1949;3.1538;1912;2.5090;1928;1.1416;2926;37.5732;3308;37.5534;1909;2.3991;1978;2.4957;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.0;32.1;34.6
23/10/2024 11:20:24;2007;4.8661;1933;3.1128;1914;2.4093;1895;1.6928;1946;-2.4824;1964;-5.0085;1949;3.1538;1915;2.5129;1927;1.1410;2928;37.6362;3311;37.6182;1911;2.4016;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.0;32.1;34.6
23/10/2024 11:20:26;2007;4.8661;1932;3.1112;1913;2.4081;1896;1.6937;1947;-2.4837;1964;-5.0085;1949;3.1538;1915;2.5129;1928;1.1416;2929;37.6677;3313;37.6613;1910;2.4004;1977;2.4945;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.0;32.1;34.6
23/10/2024 11:20:27;2008;4.8685;1932;3.1112;1913;2.4081;1896;1.6937;1946;-2.4824;1964;-5.0085;1951;3.1570;1915;2.5129;1928;1.1416;2925;37.5417;3308;37.5534;1912;2.4029;1979;2.4970;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.0;32.1;34.9
23/10/2024 11:20:28;2008;4.8685;1932;3.1112;1912;2.4068;1895;1.6928;1946;-2.4824;1964;-5.0085;1950;3.1554;1914;2.5116;1927;1.1410;2927;37.6047;3309;37.5750;1911;2.4016;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.0;32.1;34.9
23/10/2024 11:20:29;2008;4.8685;1932;3.1112;1912;2.4068;1897;1.6946;1947;-2.4837;1965;-5.0110;1950;3.1554;1915;2.5129;1929;1.1422;2927;37.6047;3309;37.5750;1911;2.4016;1978;2.4957;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.0;32.1;34.9
23/10/2024 11:20:30;2007;4.8661;1932;3.1112;1913;2.4081;1896;1.6937;1947;-2.4837;1965;-5.0110;1949;3.1538;1914;2.5116;1928;1.1416;2927;37.6047;3310;37.5966;1912;2.4029;1977;2.4945;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.0;32.1;34.9
23/10/2024 11:20:31;2006;4.8636;1932;3.1112;1914;2.4093;1894;1.6919;1947;-2.4837;1965;-5.0110;1950;3.1554;1914;2.5116;1927;1.1410;2928;37.6362;3312;37.6398;1911;2.4016;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.0;32.1;34.9
23/10/2024 11:20:31;2006;4.8636;1931;3.1096;1912;2.4068;1895;1.6928;1947;-2.4837;1965;-5.0110;1949;3.1538;1914;2.5116;1927;1.1410;2928;37.6362;3314;37.6829;1911;2.4016;1978;2.4957;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;33.0;32.1;34.9
23/10/2024 11:20:33;2007;4.8661;1931;3.1096;1913;2.4081;1893;1.6910;1946;-2.4824;1965;-5.0110;1949;3.1538;1915;2.5129;1928;1.1416;2928;37.6362;3308;37.5534;1910;2.4004;1977;2.4945;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;33.0;31.9;34.9
