Date(EGSE);"HK_P5V0_ANA(raw)";"HK_P5V0_ANA(V)";"HK_P3V3_ANA(raw)";"HK_P3V3_ANA(V)";"HK_P2V5_ANA(raw)";"HK_P2V5_ANA(V)";"HK_P1V8_ANA(raw)";"HK_P1V8_ANA(V)";"HK_M2V5_ANA(raw)";"HK_M2V5_ANA(V)";"HK_M5V0_ANA(raw)";"HK_M5V0_ANA(V)";"HK_P3V3_DIG(raw)";"HK_P3V3_DIG(V)";"HK_P2V5_DIG(raw)";"HK_P2V5_DIG(V)";"HK_P1V2_DIG(raw)";"HK_P1V2_DIG(V)";"HK_TEMP_AVE(raw)";"HK_TEMP_AVE(°C)";"HK_TEMP_MAX(raw)";"HK_TEMP_MAX(°C)";"HK_P2V5_AUX(raw)";"HK_P2V5_AUX(V)";"HK_VREF_TEMP(raw)";"HK_VREF_TEMP(V)";"HK_VREF_R2R(raw)";"HK_VREF_R2R(V)";"DELOCK_FLAG(raw)";"DELOCK_FLAG()";"DMX_hks_15(raw)";"DMX_hks_15()";"DMX_hks_16(raw)";"DMX_hks_16()";"TMTC OK Board Temp 1()";"TMTC OK Board Temp 2()";"TMTC OK FPGA Temp()"
23/10/2024 13:28:49;2027;4.9146;2044;3.2916;1927;2.4257;2095;1.8715;1940;-2.4747;1965;-5.0110;2009;3.2508;1937;2.5418;1951;1.1552;2449;22.5477;2646;23.2608;1932;2.4280;1986;2.5058;2040;3.2917;0;0.0000;0;0.0000;0;0.0000;28.7;29.3;32.3
23/10/2024 13:28:53;2027;4.9146;2045;3.2932;1926;2.4244;2097;1.8733;1940;-2.4747;1965;-5.0110;2009;3.2508;1937;2.5418;1948;1.1534;2446;22.4532;2661;23.5847;1932;2.4280;1986;2.5058;2039;3.2901;0;0.0000;0;0.0000;0;0.0000;28.9;29.6;32.8
23/10/2024 13:28:53;2027;4.9146;2044;3.2916;1926;2.4244;2097;1.8733;1940;-2.4747;1965;-5.0110;2009;3.2508;1939;2.5444;1951;1.1552;2448;22.5162;2667;23.7142;1932;2.4280;1985;2.5046;2038;3.2885;0;0.0000;0;0.0000;0;0.0000;28.9;29.6;32.8
23/10/2024 13:28:55;2027;4.9146;2045;3.2932;1926;2.4244;2096;1.8724;1940;-2.4747;1964;-5.0085;2010;3.2525;1937;2.5418;1950;1.1546;2444;22.3902;2668;23.7358;1933;2.4293;1986;2.5058;2038;3.2885;0;0.0000;0;0.0000;0;0.0000;28.9;29.6;32.8
23/10/2024 13:28:55;2027;4.9146;2045;3.2932;1926;2.4244;2097;1.8733;1940;-2.4747;1965;-5.0110;2008;3.2492;1938;2.5431;1951;1.1552;2447;22.4847;2675;23.8869;1932;2.4280;1986;2.5058;2039;3.2901;0;0.0000;0;0.0000;0;0.0000;28.9;29.6;32.8
23/10/2024 13:28:57;2027;4.9146;2045;3.2932;1926;2.4244;2097;1.8733;1939;-2.4734;1965;-5.0110;2009;3.2508;1935;2.5392;1950;1.1546;2447;22.4847;2678;23.9517;1931;2.4268;1985;2.5046;2039;3.2901;0;0.0000;0;0.0000;0;0.0000;28.9;29.6;32.8
23/10/2024 13:28:57;2027;4.9146;2044;3.2916;1926;2.4244;2097;1.8733;1940;-2.4747;1964;-5.0085;2010;3.2525;1935;2.5392;1950;1.1546;2447;22.4847;2683;24.0596;1932;2.4280;1986;2.5058;2039;3.2901;0;0.0000;0;0.0000;0;0.0000;29.1;30.1;32.4
23/10/2024 13:28:59;2027;4.9146;2044;3.2916;1927;2.4257;2096;1.8724;1940;-2.4747;1964;-5.0085;2008;3.2492;1937;2.5418;1950;1.1546;2444;22.3902;2687;24.1460;1933;2.4293;1985;2.5046;2039;3.2901;0;0.0000;0;0.0000;0;0.0000;29.1;30.1;32.4
23/10/2024 13:29:00;2027;4.9146;2044;3.2916;1926;2.4244;2097;1.8733;1940;-2.4747;1964;-5.0085;2010;3.2525;1937;2.5418;1950;1.1546;2445;22.4217;2692;24.2540;1932;2.4280;1985;2.5046;2040;3.2917;0;0.0000;0;0.0000;0;0.0000;29.1;30.1;32.4
23/10/2024 13:29:01;2026;4.9121;2044;3.2916;1926;2.4244;2096;1.8724;1940;-2.4747;1964;-5.0085;2008;3.2492;1939;2.5444;1951;1.1552;2449;22.5477;2695;24.3187;1933;2.4293;1985;2.5046;2039;3.2901;0;0.0000;0;0.0000;0;0.0000;29.1;30.1;32.4
