Date(EGSE);"HK_P5V0_ANA(raw)";"HK_P5V0_ANA(V)";"HK_P3V3_ANA(raw)";"HK_P3V3_ANA(V)";"HK_P2V5_ANA(raw)";"HK_P2V5_ANA(V)";"HK_P1V8_ANA(raw)";"HK_P1V8_ANA(V)";"HK_M2V5_ANA(raw)";"HK_M2V5_ANA(V)";"HK_M5V0_ANA(raw)";"HK_M5V0_ANA(V)";"HK_P3V3_DIG(raw)";"HK_P3V3_DIG(V)";"HK_P2V5_DIG(raw)";"HK_P2V5_DIG(V)";"HK_P1V2_DIG(raw)";"HK_P1V2_DIG(V)";"HK_TEMP_AVE(raw)";"HK_TEMP_AVE(°C)";"HK_TEMP_MAX(raw)";"HK_TEMP_MAX(°C)";"HK_P2V5_AUX(raw)";"HK_P2V5_AUX(V)";"HK_VREF_TEMP(raw)";"HK_VREF_TEMP(V)";"HK_VREF_R2R(raw)";"HK_VREF_R2R(V)";"DELOCK_FLAG(raw)";"DELOCK_FLAG()";"DMX_hks_15(raw)";"DMX_hks_15()";"DMX_hks_16(raw)";"DMX_hks_16()";"TMTC OK Board Temp 1()";"TMTC OK Board Temp 2()";"TMTC OK FPGA Temp()"
23/10/2024 13:29:44;2014;4.8830;1931;3.1096;1911;2.4055;1855;1.6571;1948;-2.4849;1965;-5.0110;1955;3.1635;1924;2.5247;1933;1.1445;2457;22.7997;2804;26.6720;1920;2.4129;1981;2.4995;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;30.2;30.5;33.6
23/10/2024 13:29:45;2015;4.8855;1933;3.1128;1914;2.4093;1890;1.6883;1949;-2.4862;1964;-5.0085;1955;3.1635;1924;2.5247;1936;1.1463;2458;22.8312;2809;26.7800;1920;2.4129;1981;2.4995;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;30.2;30.5;33.6
23/10/2024 13:29:46;2015;4.8855;1932;3.1112;1911;2.4055;1881;1.6803;1949;-2.4862;1963;-5.0059;1956;3.1651;1921;2.5208;1934;1.1451;2459;22.8627;2811;26.8232;1917;2.4092;1981;2.4995;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;30.2;30.5;33.6
23/10/2024 13:29:47;2015;4.8855;1932;3.1112;1911;2.4055;1880;1.6794;1948;-2.4849;1965;-5.0110;1955;3.1635;1920;2.5195;1934;1.1451;2459;22.8627;2811;26.8232;1915;2.4067;1980;2.4983;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;30.2;30.5;33.6
23/10/2024 13:29:47;2014;4.8830;1931;3.1096;1911;2.4055;1880;1.6794;1947;-2.4837;1963;-5.0059;1954;3.1618;1919;2.5182;1933;1.1445;2462;22.9572;2812;26.8448;1915;2.4067;1980;2.4983;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;30.2;30.5;33.6
23/10/2024 13:29:49;2015;4.8855;1932;3.1112;1912;2.4068;1878;1.6776;1949;-2.4862;1965;-5.0110;1956;3.1651;1919;2.5182;1934;1.1451;2463;22.9887;2815;26.9095;1915;2.4067;1981;2.4995;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;30.7;30.7;33.6
23/10/2024 13:29:50;2014;4.8830;1932;3.1112;1911;2.4055;1878;1.6776;1948;-2.4849;1965;-5.0110;1951;3.1570;1917;2.5155;1935;1.1457;2464;23.0202;2819;26.9959;1914;2.4054;1980;2.4983;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;30.7;30.7;33.6
23/10/2024 13:29:51;2015;4.8855;1932;3.1112;1911;2.4055;1878;1.6776;1948;-2.4849;1964;-5.0085;1953;3.1602;1918;2.5169;1933;1.1445;2466;23.0832;2821;27.0391;1913;2.4041;1980;2.4983;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;30.7;30.7;33.6
23/10/2024 13:29:52;2014;4.8830;1932;3.1112;1912;2.4068;1878;1.6776;1948;-2.4849;1965;-5.0110;1954;3.1618;1918;2.5169;1933;1.1445;2468;23.1462;2824;27.1038;1915;2.4067;1981;2.4995;2039;3.2901;0;0.0000;0;0.0000;0;0.0000;30.7;30.7;33.6
23/10/2024 13:29:53;2015;4.8855;1931;3.1096;1912;2.4068;1874;1.6740;1947;-2.4837;1964;-5.0085;1954;3.1618;1921;2.5208;1934;1.1451;2471;23.2407;2825;27.1254;1916;2.4079;1980;2.4983;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;30.7;30.7;33.6
23/10/2024 13:29:54;2014;4.8830;1931;3.1096;1911;2.4055;1877;1.6767;1947;-2.4837;1963;-5.0059;1952;3.1586;1918;2.5169;1934;1.1451;2472;23.2722;2828;27.1902;1913;2.4041;1981;2.4995;2038;3.2885;0;0.0000;0;0.0000;0;0.0000;30.6;30.6;33.5
23/10/2024 13:29:55;2015;4.8855;1932;3.1112;1912;2.4068;1874;1.6740;1948;-2.4849;1964;-5.0085;1954;3.1618;1920;2.5195;1934;1.1451;2477;23.4297;2828;27.1902;1916;2.4079;1981;2.4995;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;30.6;30.6;33.5
23/10/2024 13:29:56;2014;4.8830;1932;3.1112;1911;2.4055;1873;1.6732;1948;-2.4849;1964;-5.0085;1953;3.1602;1923;2.5234;1933;1.1445;2482;23.5872;2831;27.2550;1918;2.4104;1980;2.4983;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;30.6;30.6;33.5
23/10/2024 13:29:56;2014;4.8830;1932;3.1112;1912;2.4068;1874;1.6740;1948;-2.4849;1964;-5.0085;1953;3.1602;1921;2.5208;1934;1.1451;2485;23.6817;2836;27.3629;1917;2.4092;1981;2.4995;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;30.6;30.6;33.5
23/10/2024 13:29:58;2014;4.8830;1932;3.1112;1912;2.4068;1874;1.6740;1948;-2.4849;1964;-5.0085;1954;3.1618;1921;2.5208;1934;1.1451;2486;23.7132;2833;27.2981;1918;2.4104;1981;2.4995;2038;3.2885;0;0.0000;0;0.0000;0;0.0000;30.6;30.6;33.5
23/10/2024 13:29:59;2014;4.8830;1933;3.1128;1912;2.4068;1875;1.6749;1948;-2.4849;1964;-5.0085;1954;3.1618;1922;2.5221;1934;1.1451;2488;23.7762;2835;27.3413;1916;2.4079;1981;2.4995;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;30.6;30.6;33.5
23/10/2024 13:30:00;2014;4.8830;1932;3.1112;1911;2.4055;1874;1.6740;1948;-2.4849;1964;-5.0085;1953;3.1602;1921;2.5208;1932;1.1440;2495;23.9967;2840;27.4493;1917;2.4092;1981;2.4995;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;30.6;30.6;33.5
23/10/2024 13:30:01;2014;4.8830;1932;3.1112;1912;2.4068;1874;1.6740;1948;-2.4849;1965;-5.0110;1955;3.1635;1922;2.5221;1934;1.1451;2496;24.0282;2840;27.4493;1915;2.4067;1981;2.4995;2038;3.2885;0;0.0000;0;0.0000;0;0.0000;30.6;30.6;33.5
23/10/2024 13:30:02;2014;4.8830;1932;3.1112;1912;2.4068;1874;1.6740;1948;-2.4849;1963;-5.0059;1953;3.1602;1921;2.5208;1934;1.1451;2501;24.1857;2843;27.5140;1916;2.4079;1980;2.4983;2036;3.2853;0;0.0000;0;0.0000;0;0.0000;30.6;30.6;33.5
23/10/2024 13:30:03;2014;4.8830;1932;3.1112;1911;2.4055;1874;1.6740;1948;-2.4849;1964;-5.0085;1953;3.1602;1923;2.5234;1933;1.1445;2502;24.2172;2844;27.5356;1917;2.4092;1981;2.4995;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;30.6;30.6;33.5
23/10/2024 13:30:04;2014;4.8830;1932;3.1112;1912;2.4068;1874;1.6740;1949;-2.4862;1964;-5.0085;1953;3.1602;1922;2.5221;1934;1.1451;2503;24.2487;2846;27.5788;1917;2.4092;1980;2.4983;2037;3.2869;0;0.0000;0;0.0000;0;0.0000;30.9;30.7;33.8
